gender,caste,mathematics_marks,english_marks,science_marks,science_teacher,languages_teacher,guardian,internet,continue_drop
1.0,0.0,0.142,0.687,0.142,4.0,4.0,2.0,1.0,0
0.0,1.0,0.46,0.635,0.46,1.0,10.0,2.0,0.0,0
1.0,0.0,0.113,0.16,0.113,0.0,6.0,2.0,1.0,0
0.0,0.0,0.447,0.45,0.447,0.0,4.0,2.0,1.0,0
1.0,2.0,0.602,0.642,0.602,0.0,6.0,0.0,1.0,0
0.0,0.0,0.594,0.519,0.594,4.0,8.0,2.0,1.0,0
0.0,0.0,0.29,0.512,0.29,4.0,7.0,2.0,1.0,0
1.0,2.0,0.83,0.5670000000000001,0.83,0.0,0.0,2.0,1.0,0
0.0,2.0,0.08,0.411,0.08,6.0,10.0,3.0,1.0,0
1.0,2.0,0.6940000000000001,0.265,0.6940000000000001,3.0,2.0,2.0,1.0,0
0.0,3.0,0.38,0.426,0.38,9.0,4.0,2.0,1.0,0
0.0,0.0,0.79,0.865,0.79,0.0,10.0,0.0,0.0,0
0.0,2.0,0.274,0.24,0.274,0.0,7.0,2.0,0.0,0
0.0,0.0,0.14300000000000002,0.517,0.14300000000000002,4.0,7.0,3.0,1.0,0
0.0,1.0,0.48,0.457,0.48,2.0,9.0,2.0,1.0,0
1.0,3.0,0.294,0.51,0.294,3.0,5.0,1.0,1.0,0
0.0,0.0,0.448,0.581,0.448,1.0,10.0,0.0,1.0,0
1.0,0.0,0.89,0.644,0.89,2.0,2.0,2.0,1.0,0
0.0,0.0,0.34600000000000003,0.29600000000000004,0.34600000000000003,2.0,1.0,3.0,0.0,0
0.0,2.0,0.625,0.6559999999999999,0.625,4.0,4.0,2.0,1.0,0
1.0,0.0,0.201,0.317,0.201,8.0,5.0,2.0,1.0,0
0.0,3.0,0.38,0.426,0.38,9.0,4.0,2.0,1.0,0
0.0,0.0,0.378,0.526,0.378,8.0,7.0,2.0,1.0,0
1.0,0.0,0.25,0.363,0.25,1.0,3.0,2.0,0.0,0
1.0,1.0,0.414,0.529,0.414,4.0,0.0,0.0,1.0,0
1.0,0.0,0.632,0.445,0.632,9.0,4.0,2.0,1.0,0
1.0,0.0,0.5379999999999999,0.468,0.5379999999999999,4.0,8.0,2.0,1.0,0
1.0,2.0,0.745,0.645,0.745,4.0,3.0,0.0,1.0,0
1.0,1.0,0.552,0.524,0.552,0.0,3.0,2.0,1.0,0
0.0,0.0,0.482,0.698,0.482,5.0,2.0,2.0,0.0,0
0.0,2.0,0.6659999999999999,0.727,0.6659999999999999,4.0,6.0,2.0,1.0,0
0.0,0.0,0.416,0.5329999999999999,0.416,0.0,4.0,2.0,1.0,0
0.0,3.0,0.6759999999999999,0.764,0.6759999999999999,0.0,5.0,2.0,1.0,0
0.0,2.0,0.895,0.615,0.895,4.0,0.0,2.0,1.0,0
0.0,1.0,0.757,0.664,0.757,8.0,6.0,2.0,1.0,0
0.0,0.0,0.503,0.446,0.503,4.0,4.0,2.0,1.0,0
0.0,0.0,0.519,0.4320000000000001,0.519,0.0,0.0,2.0,1.0,0
1.0,1.0,0.409,0.399,0.409,6.0,8.0,0.0,1.0,0
1.0,2.0,0.099,0.354,0.099,3.0,1.0,2.0,1.0,0
0.0,0.0,0.578,0.728,0.578,0.0,10.0,2.0,1.0,0
0.0,0.0,0.73,0.5539999999999999,0.73,6.0,3.0,2.0,1.0,0
1.0,2.0,0.628,0.626,0.628,2.0,5.0,2.0,1.0,0
0.0,2.0,0.794,0.667,0.794,4.0,6.0,2.0,1.0,0
0.0,1.0,0.742,0.672,0.742,3.0,12.0,2.0,1.0,0
1.0,0.0,0.391,0.451,0.391,5.0,0.0,0.0,1.0,0
0.0,2.0,0.266,0.271,0.266,4.0,2.0,2.0,1.0,0
1.0,0.0,0.674,0.614,0.674,5.0,6.0,2.0,0.0,0
0.0,0.0,0.503,0.446,0.503,4.0,4.0,2.0,1.0,0
1.0,2.0,0.602,0.642,0.602,0.0,6.0,0.0,1.0,0
1.0,0.0,0.35700000000000004,0.227,0.35700000000000004,2.0,7.0,2.0,0.0,0
1.0,0.0,0.7390000000000001,0.625,0.7390000000000001,5.0,6.0,0.0,1.0,0
1.0,0.0,0.547,0.537,0.547,2.0,6.0,2.0,1.0,0
0.0,0.0,0.778,0.747,0.778,9.0,9.0,2.0,1.0,0
0.0,1.0,0.64,0.636,0.64,2.0,4.0,2.0,1.0,0
